FundName,Category,AUM,Return1W,Return1M,Return6M,Return1Y,Return3Y,ReturnSI
Aditya Birla Sun Life Digital India Fund,Equity-Sector,2658.13,-1.07,0.09,36.74,79.97,42.06,12.78
Aditya Birla Sun Life Infrastructure Fund,Equity-Sector,557.41,-4.29,-1.39,17.73,70.25,17.82,10.78
Aditya Birla Sun Life Mid Cap Fund,Equity-Diversified,3381.81,-2.05,2.17,30.47,69.4,20.11,22.46
Aditya Birla Sun Life Small Cap Fund,Equity-Diversified,2969.16,-1.74,-1.18,19.4,68.79,18.34,12.58
Axis Small Cap Fund,Equity-Diversified,7362.16,-0.37,3.15,25.54,67.37,33.32,25.51
Baroda Mid cap Fund,Equity-Diversified,84.71,-1.49,0.85,32.12,65.98,28.12,5.32
BOI AXA Small Cap Fund,Equity-Diversified,193.62,-0.56,2.83,28.22,81.53,--,39.64
Canara Robeco Infrastructure Fund,Equity-Sector,171.37,-2.97,3.22,26.16,72.6,20.93,13.53
Canara Robeco Small Cap Fund,Equity-Diversified,1697.01,-2.23,0.89,29.7,85.28,--,34.71
CPSE ETF,ETF-Others,15950.09,-1.45,-4.59,18.4,65.03,6.1,7.24
DSP India Tiger Fund,Equity-Diversified,1301.52,-2.13,1.61,24.44,70.63,20.27,16.65
DSP Small Cap Fund,Equity-Diversified,8269.57,-1.54,1.38,24.67,70.3,27.41,18.06
Edelweiss Mid Cap Fund,Equity-Diversified,1749.56,-1.5,0.05,22.53,65.14,27.44,12.54
Edelweiss Recently Listed IPO Fund,Equity-Sector,904.26,-0.25,2.48,35.98,76.96,35.95,22.1
Edelweiss Small Cap Fund,Equity-Diversified,1057.3,-1.39,2.25,24.12,80.4,--,37.62
Franklin Build India Fund,Equity-Sector,1132.07,-2.25,1.26,24.88,69.15,20.03,16.83
Franklin India Smaller Companies Fund,Equity-Diversified,7229.32,-2.13,2.48,28.82,76.5,21.64,15.11
HDFC Infrastructure Fund,Equity-Sector,604.07,-3.8,-2.7,19.66,70.15,9.23,5.41
HDFC Small Cap Fund,Equity-Diversified,13182.11,-1.59,-0.29,24.61,80.44,21.05,15.83
HSBC Infrastructure Equity Fund,Equity-Diversified,110.02,-2.85,1.43,24.21,79.75,14.74,6.27
HSBC Small Cap Equity Fund,Equity-Diversified,335.29,-1.12,0.58,31.88,78.82,23.51,14.25
ICICI Prudential Commodities Fund,Equity-Sector,720.53,-4.93,-5.49,11.93,94.31,--,51.64
ICICI Prudential Dividend Yield Equity Fund,Equity-Diversified,530.44,-2.46,-2.64,23.57,66.17,18.35,13.86
ICICI Prudential India Opportunities Fund,Equity-Diversified,4182.94,-2.78,-3.1,20.52,76.61,--,21.75
ICICI Prudential Infrastructure Fund,Equity-Sector,1446.95,-3.04,-2.09,22.26,78.12,19.06,13.79
ICICI Prudential IT ETF,ETF-Others,2436.5,-0.9,0.6,39.65,70.86,--,74.5
ICICI Prudential Smallcap Fund.,Equity-Global Funds,3304.22,-2.12,2.13,31.02,87.04,31.32,12.44
ICICI Prudential Technology Fund,Equity-Sector,6886.59,-0.1,1.54,45.42,92.39,44.93,13.78
ICICI Prudential Thematic Advantage Fund ,Fund of Funds-Domestic,95.69,-1.41,-0.77,18.73,66.72,23.6,15.44
IDBI Small Cap Fund,Equity-Diversified,129.69,-0.91,3.38,26.76,80.65,23.65,13.41
IDFC Emerging Businesses Fund,Equity-Diversified,1433.49,-1.75,-1.45,25.57,68.82,--,59.69
IDFC Infrastructure Fund,Equity-Sector,663.06,-3.93,1.77,25.7,86.91,19.36,8.81
IDFC Sterling Value Fund,Equity-Diversified,4206.75,-2.56,0.7,21.74,76.14,20.48,17.12
Invesco India Infrastructure Fund,Equity-Sector,333.69,-2.05,2.47,27.32,72.21,25.85,8.65
Invesco India Smallcap Fund,Equity-Diversified,1226.92,-1.83,0.89,27.22,80.5,28.7,28.48
Kotak Infrastructure & Economic Reform Fund,Equity-Sector,462.33,-2.36,1.04,29.34,76.66,21.17,9.08
Kotak PSU Bank ETF,ETF-Others,194.62,-3.44,-0.9,19.67,90.76,-2.47,0.46
Kotak Small Cap Fund,Equity-Diversified,6180.02,-0.11,3.66,31.44,92.52,36.11,18.45
L&T Emerging Businesses Fund,Equity-Diversified,7554.14,-1.74,2.79,31.23,88.68,22.66,22.09
L&T Infrastructure Fund,Equity-Sector,1356.28,-3.48,2.31,27.76,73.5,15.29,6.5
Mahindra Manulife Mid Cap Unnati Yojana,Equity-Diversified,844.56,-2.33,-0.57,20.13,65.48,25.15,15.99
Mahindra Manulife Multi Cap Badhat Yojana,Equity-Diversified,853.87,-2.18,-0.01,26.06,67.04,28.59,18.03
Mirae Asset Midcap Fund,Equity-Diversified,6736.74,-2.19,0.58,22.47,67.02,--,38.81
Motilal Oswal Midcap 100 ETF,ETF-Others,82.56,-2,-0.15,23.8,66.1,22,14.09
Motilal Oswal Midcap 30 Fund,Equity-Diversified,2419.25,-1.73,5.03,34.87,66.12,24.85,21.58
Motilal Oswal Nifty Smallcap 250 Index Fund,Equity-Index,222.84,-1.64,0.57,22.36,78.4,--,40.23
Nippon India Capital Builder Fund IV ,Equity-Diversified,48.96,-2.13,2.83,35.59,68.81,17.67,6.61
Nippon India ETF Nifty IT,ETF-Others,881.4,-0.9,0.6,39.64,71.1,--,89.99
Nippon India ETF PSU Bank BeES,ETF-Others,387.55,-3.44,-0.9,19.82,91.19,-2.27,1.2
Nippon India Growth Fund,Equity-Diversified,11919.02,-1.95,1.13,28.07,67.05,26.94,22.75
Nippon India Multi Cap Fund,Equity-Diversified,10969.56,-2.4,1.1,27.64,67.38,17.51,17.67
Nippon India Nifty Smallcap 250 Index Fund,Equity-Index,231.19,-1.62,0.59,22.58,78.44,--,80.07
Nippon India Power & Infra Fund,Equity-Sector,1678.63,-2.57,1.16,24.51,67.62,18.68,17.15
Nippon India Small Cap Fund,Equity-Diversified,17197.2,-0.94,2.94,27.99,87.96,28.89,21.03
PGIM India Midcap Opportunities Fund,Equity-Diversified,3388.27,-1.99,1.61,29.44,80.69,36.57,20.53
Principal Small Cap Fund,Equity-Diversified,490.89,-0.77,3.61,33.32,90.04,--,42.54
Quant Active Fund,Equity-Diversified,1304.41,-1.45,-0.02,20.29,80.65,33.76,19.87
Quant Consumption Fund,Equity-Sector,37.75,-0.95,2.06,25.11,87.59,32.93,14.52
Quant ESG Equity Fund,Equity-Diversified,27.96,-0.25,3.71,28.27,85.18,--,86.32
Quant Infrastructure Fund,Equity-Sector,147.21,-1.75,3.06,30.47,109.83,37.34,5.4
Quant Mid Cap Fund,Balanced,205.24,-0.07,2.83,20.98,78.84,29.17,12.77
Quant Small Cap Fund,Equity-Diversified,1241.37,-2.97,-0.55,26.73,109.85,36.58,11.42
Quant Tax Plan,Equity-Tax Planning,487.12,-2.2,0.48,21.48,85.81,35.4,15.45
SBI Consumption Opportunities Fund,Equity-Sector,839.33,-1.24,5.89,25.57,65.67,18.57,15.56
SBI Contra Fund,Equity-Diversified,3106.42,-2.26,1.31,22.81,71.29,25.2,19.23
SBI ETF IT,ETF-Others,855.45,-0.9,0.6,39.68,71.28,--,64.86
SBI Long Term Advantage Fund ,Equity-Tax Planning,198.16,-2.16,-1.54,33.57,82.17,35.67,27.13
SBI Magnum Childrens Benefit Fund ,Speciality-Child Care,322.06,-2.35,2.48,47.45,110.03,--,108.54
SBI Magnum Midcap Fund,Equity-Diversified,6425.59,-1.57,4.53,26.32,73.57,26.98,17.29
SBI Technology Opportunities Fund,Equity-Sector,1890.6,-0.47,2.91,40.26,79.7,39.18,16.4
Sundaram emerging Small Cap ,Equity-Diversified,265.92,-2.26,4.23,33.64,94.7,25.87,17.63
Sundaram emerging Small Cap ,Equity-Diversified,277.55,-2.36,4.44,34.37,93.61,24.86,12.86
Sundaram emerging Small Cap ,Equity-Diversified,189.48,-2.29,4,33.05,92.37,25.57,19.02
Sundaram emerging Small Cap ,Equity-Diversified,127.41,-2.29,3.1,26.2,74.38,26.35,25.38
Sundaram Infrastructure Advantage Fund,Equity-Sector,646.2,-3.25,2.76,23.3,69.61,20.76,10.83
Sundaram Long Term Tax Advantage Fund ,Equity-Tax Planning,41.43,-2.35,3.72,34.22,96.53,23.01,12.73
Sundaram Long Term Tax Advantage Fund ,Equity-Tax Planning,27.8,-2.41,4.01,33.66,94.68,23.05,18.98
Sundaram Select Micro Cap ,Equity-Diversified,116.01,-2.67,2.63,35.36,101.98,23.89,10.14
Sundaram Services Fund,Equity-Sector,1923.19,-1.17,1.45,32.73,66.49,29.32,28.05
Sundaram Small Cap Fund,Equity-Diversified,1540.84,-1.41,0.81,25.67,79.74,24.86,17.58
Sundaram Value Fund ,Equity-Diversified,42.42,0.03,0.08,16.18,79.01,20.67,8.96
Tata Corporate Bond Fund ,Debt-Ultra Short Term,11.82,-1.24,-0.81,112.67,113.56,--,24.07
Tata Digital India Fund,Equity-Sector,3842.31,-0.84,0.54,43.72,91.3,42.26,25.75
Tata Infrastructure Fund,Equity-Sector,757.74,-2.24,1.87,24.77,70.7,21.51,14.07
Tata Medium Term Fund ,Debt-Income,2.09,-1.24,-0.81,182.1,183.71,--,24.08
Tata Small Cap Fund,Equity-Diversified,1721.24,-1.6,2.73,28.12,85.17,30.22,29.94
Tata Treasury Advantage Fund ,Debt-Ultra Short Term,14.73,-1.24,-0.81,150.07,151.33,--,24.08
Templeton India Value Fund,Equity-Diversified,620.67,-2.11,-0.67,24.12,66.85,19.82,16.43
Union Midcap Fund,Equity-Diversified,337.9,-1.14,1.75,30.81,68.6,--,88.23
Union Small Cap Fund,Equity-Diversified,555.44,-0.85,1.71,25.87,77.25,29.47,15.47
